5.44E-05,2.54E+00
5.48E-05,2.54E+00
5.52E-05,2.54E+00
5.56E-05,2.58E+00
5.60E-05,2.58E+00
5.64E-05,2.58E+00
5.68E-05,2.58E+00
5.72E-05,2.58E+00
5.76E-05,2.58E+00
5.80E-05,2.58E+00
5.84E-05,2.58E+00
5.88E-05,2.58E+00
5.92E-05,2.58E+00
5.96E-05,2.58E+00
6.00E-05,2.58E+00
6.04E-05,2.54E+00
6.08E-05,2.54E+00
6.12E-05,2.54E+00
6.16E-05,2.54E+00
6.20E-05,2.54E+00
6.24E-05,2.54E+00
6.28E-05,2.50E+00
6.32E-05,2.50E+00
6.36E-05,2.54E+00
6.40E-05,2.54E+00
6.44E-05,2.50E+00
6.48E-05,2.50E+00
6.52E-05,2.50E+00
6.56E-05,2.50E+00
6.60E-05,2.54E+00
6.64E-05,2.54E+00
6.68E-05,2.54E+00
6.72E-05,2.54E+00
6.76E-05,2.46E+00
6.80E-05,2.46E+00
6.84E-05,2.54E+00
6.88E-05,2.54E+00
6.92E-05,2.50E+00
6.96E-05,2.50E+00
7.00E-05,2.50E+00
7.04E-05,2.50E+00
7.08E-05,2.54E+00
7.12E-05,2.54E+00
7.16E-05,2.46E+00
7.20E-05,2.46E+00
7.24E-05,2.46E+00
7.28E-05,2.46E+00
7.32E-05,2.46E+00
7.36E-05,2.46E+00
7.40E-05,2.54E+00
7.44E-05,2.54E+00
7.48E-05,2.50E+00
7.52E-05,2.50E+00
7.56E-05,2.54E+00
7.60E-05,2.54E+00
7.64E-05,2.50E+00
7.68E-05,2.50E+00
7.72E-05,2.54E+00
7.76E-05,2.54E+00
7.80E-05,2.50E+00
7.84E-05,2.50E+00
7.88E-05,2.46E+00
7.92E-05,2.46E+00
7.96E-05,2.50E+00
8.00E-05,2.50E+00
8.04E-05,2.54E+00
8.08E-05,2.54E+00
8.12E-05,2.50E+00
8.16E-05,2.50E+00
8.20E-05,2.50E+00
8.24E-05,2.50E+00
8.28E-05,2.46E+00
8.32E-05,2.46E+00
8.36E-05,2.50E+00
8.40E-05,2.50E+00
8.44E-05,2.46E+00
8.48E-05,2.46E+00
8.52E-05,2.46E+00
8.56E-05,2.46E+00
8.60E-05,2.42E+00
8.64E-05,2.42E+00
8.68E-05,2.42E+00
8.72E-05,2.42E+00
8.76E-05,2.42E+00
8.80E-05,2.42E+00
8.84E-05,2.38E+00
8.88E-05,2.38E+00
8.92E-05,2.42E+00
8.96E-05,2.42E+00
9.00E-05,2.38E+00
9.04E-05,2.38E+00
9.08E-05,2.34E+00
9.12E-05,2.34E+00
9.16E-05,2.38E+00
9.20E-05,2.38E+00
9.24E-05,2.34E+00
9.28E-05,2.34E+00
9.32E-05,2.34E+00
9.36E-05,2.34E+00
9.40E-05,2.30E+00
9.44E-05,2.30E+00
9.48E-05,2.30E+00
9.52E-05,2.30E+00
9.56E-05,2.30E+00
9.60E-05,2.30E+00
9.64E-05,2.26E+00
9.68E-05,2.26E+00
9.72E-05,2.26E+00
9.76E-05,2.26E+00
9.80E-05,2.26E+00
9.84E-05,2.26E+00
9.88E-05,2.26E+00
9.92E-05,2.26E+00
9.96E-05,2.26E+00
1.00E-04,2.26E+00
1.00E-04,2.26E+00
1.01E-04,2.26E+00
1.01E-04,2.26E+00
1.02E-04,2.26E+00
1.02E-04,2.30E+00
1.02E-04,2.30E+00
1.03E-04,2.26E+00
1.03E-04,2.26E+00
1.04E-04,2.26E+00
1.04E-04,2.26E+00
1.04E-04,2.26E+00
1.05E-04,2.26E+00
1.05E-04,2.22E+00
1.06E-04,2.22E+00
1.06E-04,2.26E+00
1.06E-04,2.26E+00
1.07E-04,2.22E+00
1.07E-04,2.22E+00
1.08E-04,2.18E+00
1.08E-04,2.18E+00
1.08E-04,2.18E+00
1.09E-04,2.18E+00
1.09E-04,2.22E+00
1.10E-04,2.22E+00
1.10E-04,2.18E+00
1.10E-04,2.18E+00
1.11E-04,2.18E+00
1.11E-04,2.18E+00
1.12E-04,2.14E+00
1.12E-04,2.14E+00
1.12E-04,2.14E+00
1.13E-04,2.14E+00
1.13E-04,2.10E+00
1.14E-04,2.10E+00
1.14E-04,2.10E+00
1.14E-04,2.10E+00
1.15E-04,2.10E+00
1.15E-04,2.10E+00
1.16E-04,2.10E+00
1.16E-04,2.10E+00
1.16E-04,2.10E+00
1.17E-04,2.10E+00
1.17E-04,2.10E+00
1.18E-04,2.10E+00
1.18E-04,2.06E+00
1.18E-04,2.06E+00
1.19E-04,2.02E+00
1.19E-04,2.02E+00
1.20E-04,2.06E+00
1.20E-04,2.06E+00
1.20E-04,2.02E+00
1.21E-04,2.02E+00
1.21E-04,2.02E+00
1.22E-04,2.02E+00
1.22E-04,1.98E+00
1.22E-04,1.98E+00
1.23E-04,1.94E+00
1.23E-04,1.94E+00
1.24E-04,1.94E+00
1.24E-04,1.94E+00
1.24E-04,1.94E+00
1.25E-04,1.94E+00
1.25E-04,1.94E+00
1.26E-04,1.94E+00
1.26E-04,1.90E+00
1.26E-04,1.90E+00
1.27E-04,1.90E+00
1.27E-04,1.90E+00
1.28E-04,1.86E+00
1.28E-04,1.86E+00
1.28E-04,1.90E+00
1.29E-04,1.90E+00
1.29E-04,1.86E+00
1.30E-04,1.86E+00
1.30E-04,1.82E+00
1.30E-04,1.82E+00
1.31E-04,1.86E+00
1.31E-04,1.86E+00
1.32E-04,1.82E+00
1.32E-04,1.82E+00
1.32E-04,1.82E+00
1.33E-04,1.82E+00
1.33E-04,1.78E+00
1.34E-04,1.78E+00
1.34E-04,1.74E+00
1.34E-04,1.74E+00
1.35E-04,1.74E+00
1.35E-04,1.74E+00
1.36E-04,1.74E+00
1.36E-04,1.74E+00
1.36E-04,1.70E+00
1.37E-04,1.70E+00
1.37E-04,1.70E+00
1.38E-04,1.70E+00
1.38E-04,1.66E+00
1.38E-04,1.66E+00
1.39E-04,1.66E+00
1.39E-04,1.66E+00
1.40E-04,1.66E+00
1.40E-04,1.66E+00
1.40E-04,1.66E+00
1.41E-04,1.66E+00
1.41E-04,1.62E+00
1.42E-04,1.62E+00
1.42E-04,1.62E+00
1.42E-04,1.62E+00
1.43E-04,1.62E+00
1.43E-04,1.62E+00
1.44E-04,1.62E+00
1.44E-04,1.62E+00
1.44E-04,1.62E+00
1.45E-04,1.62E+00
1.45E-04,1.62E+00
1.46E-04,1.62E+00
1.46E-04,1.62E+00
1.46E-04,1.62E+00
1.47E-04,1.62E+00
1.47E-04,1.62E+00
1.48E-04,1.62E+00
1.48E-04,1.62E+00
1.48E-04,1.58E+00
1.49E-04,1.58E+00
1.49E-04,1.58E+00
1.50E-04,1.58E+00
1.50E-04,1.54E+00
1.50E-04,1.54E+00
1.51E-04,1.46E+00
1.51E-04,1.46E+00
1.52E-04,1.50E+00
1.52E-04,1.50E+00
1.52E-04,1.50E+00
1.53E-04,1.50E+00
1.53E-04,1.46E+00
1.54E-04,1.46E+00
1.54E-04,1.46E+00
1.54E-04,1.46E+00
1.55E-04,1.42E+00
1.55E-04,1.42E+00
1.56E-04,1.46E+00
1.56E-04,1.46E+00
1.56E-04,1.42E+00
1.57E-04,1.42E+00
1.57E-04,1.42E+00
1.58E-04,1.42E+00
1.58E-04,1.38E+00
1.58E-04,1.38E+00
1.59E-04,1.38E+00
1.59E-04,1.38E+00
1.60E-04,1.38E+00
1.60E-04,1.38E+00
1.60E-04,1.38E+00
1.61E-04,1.38E+00
1.61E-04,1.38E+00
1.62E-04,1.38E+00
1.62E-04,1.34E+00
1.62E-04,1.34E+00
1.63E-04,1.38E+00
1.63E-04,1.38E+00
1.64E-04,1.34E+00
1.64E-04,1.34E+00
1.64E-04,1.34E+00
1.65E-04,1.34E+00
1.65E-04,1.38E+00
1.66E-04,1.38E+00
1.66E-04,1.34E+00
1.66E-04,1.34E+00
1.67E-04,1.30E+00
1.67E-04,1.30E+00
1.68E-04,1.26E+00
1.68E-04,1.26E+00
1.68E-04,1.22E+00
1.69E-04,1.22E+00
1.69E-04,1.22E+00
1.70E-04,1.22E+00
1.70E-04,1.26E+00
1.70E-04,1.26E+00
1.71E-04,1.26E+00
1.71E-04,1.26E+00
1.72E-04,1.26E+00
1.72E-04,1.26E+00
1.72E-04,1.26E+00
1.73E-04,1.26E+00
1.73E-04,1.26E+00
1.74E-04,1.26E+00
1.74E-04,1.26E+00
1.74E-04,1.26E+00
1.75E-04,1.26E+00
1.75E-04,1.26E+00
1.76E-04,1.22E+00
1.76E-04,1.22E+00
1.76E-04,1.26E+00
1.77E-04,1.26E+00
1.77E-04,1.26E+00
1.78E-04,1.26E+00
1.78E-04,1.22E+00
1.78E-04,1.22E+00
1.79E-04,1.22E+00
1.79E-04,1.22E+00
1.80E-04,1.22E+00
1.80E-04,1.22E+00
1.80E-04,1.18E+00
1.81E-04,1.18E+00
1.81E-04,1.14E+00
1.82E-04,1.14E+00
1.82E-04,1.14E+00
1.82E-04,1.14E+00
1.83E-04,1.10E+00
1.83E-04,1.10E+00
1.84E-04,1.14E+00
1.84E-04,1.14E+00
1.84E-04,1.06E+00
1.85E-04,1.06E+00
1.85E-04,1.10E+00
1.86E-04,1.10E+00
1.86E-04,1.06E+00
1.86E-04,1.06E+00
1.87E-04,1.06E+00
1.87E-04,1.06E+00
1.88E-04,1.06E+00
1.88E-04,1.06E+00
1.88E-04,1.06E+00
1.89E-04,1.06E+00
1.89E-04,1.06E+00
1.90E-04,1.06E+00
1.90E-04,1.06E+00
1.90E-04,1.06E+00
1.91E-04,1.06E+00
1.91E-04,1.06E+00
1.92E-04,1.06E+00
1.92E-04,1.06E+00
1.92E-04,1.10E+00
1.93E-04,1.10E+00
1.93E-04,1.06E+00
1.94E-04,1.06E+00
1.94E-04,1.06E+00
1.94E-04,1.06E+00
1.95E-04,1.06E+00
1.95E-04,1.06E+00
1.96E-04,1.02E+00
1.96E-04,1.02E+00
1.96E-04,9.80E-01
1.97E-04,9.80E-01
1.97E-04,9.80E-01
1.98E-04,9.80E-01
1.98E-04,9.80E-01
1.98E-04,9.80E-01
1.99E-04,9.80E-01
1.99E-04,9.80E-01
2.00E-04,9.80E-01
2.00E-04,9.80E-01
2.00E-04,9.40E-01
2.01E-04,9.40E-01
2.01E-04,9.40E-01
2.02E-04,9.40E-01
2.02E-04,9.00E-01
2.02E-04,9.00E-01
2.03E-04,9.00E-01
2.03E-04,9.00E-01
2.04E-04,9.00E-01
2.04E-04,9.00E-01
2.04E-04,9.00E-01
2.05E-04,9.00E-01
2.05E-04,9.40E-01
2.06E-04,9.40E-01
2.06E-04,8.60E-01
2.06E-04,8.60E-01
2.07E-04,9.00E-01
2.07E-04,9.00E-01
2.08E-04,9.40E-01
2.08E-04,9.40E-01
2.08E-04,9.00E-01
2.09E-04,9.00E-01
2.09E-04,9.00E-01
2.10E-04,9.00E-01
2.10E-04,8.60E-01
2.10E-04,8.60E-01
2.11E-04,8.60E-01
2.11E-04,8.60E-01
2.12E-04,8.20E-01
2.12E-04,8.20E-01
2.12E-04,8.20E-01
2.13E-04,8.20E-01
2.13E-04,7.80E-01
2.14E-04,7.80E-01
2.14E-04,7.40E-01
2.14E-04,7.40E-01
2.15E-04,7.40E-01
2.15E-04,7.40E-01
2.16E-04,7.40E-01
2.16E-04,7.40E-01
2.16E-04,7.40E-01
2.17E-04,7.40E-01
2.17E-04,7.40E-01
2.18E-04,7.40E-01
2.18E-04,7.00E-01
2.18E-04,7.00E-01
2.19E-04,7.40E-01
2.19E-04,7.40E-01
2.20E-04,7.40E-01
2.20E-04,7.40E-01
2.20E-04,7.00E-01
2.21E-04,7.00E-01
2.21E-04,7.40E-01
2.22E-04,7.40E-01
2.22E-04,7.40E-01
2.22E-04,7.40E-01
2.23E-04,7.00E-01
2.23E-04,7.00E-01
2.24E-04,7.00E-01
2.24E-04,7.00E-01
2.24E-04,6.60E-01
2.25E-04,6.60E-01
2.25E-04,6.60E-01
2.26E-04,6.60E-01
2.26E-04,6.20E-01
2.26E-04,6.20E-01
2.27E-04,6.20E-01
2.27E-04,6.20E-01
2.28E-04,5.80E-01
2.28E-04,5.80E-01
2.28E-04,5.80E-01
2.29E-04,5.80E-01
2.29E-04,5.80E-01
2.30E-04,5.80E-01
2.30E-04,5.40E-01
2.30E-04,5.40E-01
2.31E-04,5.40E-01
2.31E-04,5.40E-01
2.32E-04,5.80E-01
2.32E-04,5.80E-01
2.32E-04,5.40E-01
2.33E-04,5.40E-01
2.33E-04,5.80E-01
2.34E-04,5.80E-01
2.34E-04,5.80E-01
2.34E-04,5.80E-01
2.35E-04,6.20E-01
2.35E-04,6.20E-01
2.36E-04,6.20E-01
2.36E-04,6.20E-01
2.36E-04,6.60E-01
2.37E-04,6.60E-01
2.37E-04,6.60E-01
2.38E-04,6.60E-01
2.38E-04,6.60E-01
2.38E-04,6.60E-01
2.39E-04,6.20E-01
2.39E-04,6.20E-01
2.40E-04,6.20E-01
2.40E-04,6.20E-01
2.40E-04,5.40E-01
2.41E-04,5.40E-01
2.41E-04,5.80E-01
2.42E-04,5.80E-01
2.42E-04,5.40E-01
2.42E-04,5.40E-01
2.43E-04,5.40E-01
2.43E-04,5.40E-01
2.44E-04,5.40E-01
2.44E-04,5.40E-01
2.44E-04,5.00E-01
2.45E-04,5.00E-01
2.45E-04,5.00E-01
2.46E-04,5.00E-01
2.46E-04,5.00E-01
2.46E-04,5.00E-01
2.47E-04,5.00E-01
2.47E-04,5.00E-01
2.48E-04,5.00E-01
2.48E-04,5.00E-01
2.48E-04,4.60E-01
2.49E-04,4.60E-01
2.49E-04,5.00E-01
2.50E-04,5.00E-01
2.50E-04,4.60E-01
2.50E-04,4.60E-01
2.51E-04,4.60E-01
2.51E-04,4.60E-01
2.52E-04,3.80E-01
2.52E-04,3.80E-01
2.52E-04,3.80E-01
2.53E-04,3.80E-01
2.53E-04,3.80E-01
2.54E-04,3.80E-01
2.54E-04,4.60E-01
2.54E-04,4.60E-01
2.55E-04,4.20E-01
2.55E-04,4.20E-01
2.56E-04,4.60E-01
2.56E-04,4.60E-01
2.56E-04,4.60E-01
2.57E-04,4.60E-01
2.57E-04,4.60E-01
2.58E-04,4.60E-01
2.58E-04,4.20E-01
2.58E-04,4.20E-01
2.59E-04,4.20E-01
2.59E-04,4.20E-01
2.60E-04,3.80E-01
2.60E-04,3.80E-01
2.60E-04,3.40E-01
2.61E-04,3.40E-01
2.61E-04,3.40E-01
2.62E-04,3.40E-01
2.62E-04,3.00E-01
2.62E-04,3.00E-01
2.63E-04,2.60E-01
2.63E-04,2.60E-01
2.64E-04,2.60E-01
2.64E-04,2.60E-01
2.64E-04,3.00E-01
2.65E-04,3.00E-01
2.65E-04,2.60E-01
2.66E-04,2.60E-01
2.66E-04,3.00E-01
2.66E-04,3.00E-01
2.67E-04,2.60E-01
2.67E-04,2.60E-01
2.68E-04,2.60E-01
2.68E-04,2.60E-01
2.68E-04,2.60E-01
2.69E-04,2.60E-01
2.69E-04,2.60E-01
2.70E-04,2.60E-01
2.70E-04,2.20E-01
2.70E-04,2.20E-01
2.71E-04,2.20E-01
2.71E-04,2.20E-01
2.72E-04,2.20E-01
2.72E-04,2.20E-01
2.72E-04,2.60E-01
2.73E-04,2.60E-01
2.73E-04,2.60E-01
2.74E-04,2.60E-01
2.74E-04,2.60E-01
2.74E-04,2.60E-01
2.75E-04,3.00E-01
2.75E-04,3.00E-01
2.76E-04,3.40E-01
2.76E-04,3.40E-01
2.76E-04,3.00E-01
2.77E-04,3.00E-01
2.77E-04,2.60E-01
2.78E-04,2.60E-01
2.78E-04,2.20E-01
2.78E-04,2.20E-01
2.79E-04,2.60E-01
2.79E-04,2.60E-01
2.80E-04,2.60E-01
2.80E-04,2.60E-01
2.80E-04,2.20E-01
2.81E-04,2.20E-01
2.81E-04,3.00E-01
2.82E-04,3.00E-01
2.82E-04,2.60E-01
2.82E-04,2.60E-01
2.83E-04,2.60E-01
2.83E-04,2.60E-01
2.84E-04,2.60E-01
2.84E-04,2.60E-01
2.84E-04,2.60E-01
2.85E-04,2.60E-01
2.85E-04,2.60E-01
2.86E-04,2.60E-01
2.86E-04,2.20E-01
2.86E-04,2.20E-01
2.87E-04,2.60E-01
2.87E-04,2.60E-01
2.88E-04,2.20E-01
2.88E-04,2.20E-01
2.88E-04,2.20E-01
2.89E-04,2.20E-01
2.89E-04,2.20E-01
2.90E-04,2.20E-01
2.90E-04,2.20E-01
2.90E-04,2.20E-01
2.91E-04,1.80E-01
2.91E-04,1.80E-01
2.92E-04,2.20E-01
2.92E-04,2.20E-01
2.92E-04,2.20E-01
2.93E-04,2.20E-01
2.93E-04,3.00E-01
2.94E-04,3.00E-01
2.94E-04,2.60E-01
2.94E-04,2.60E-01
2.95E-04,3.00E-01
2.95E-04,3.00E-01
2.96E-04,2.60E-01
2.96E-04,2.60E-01
2.96E-04,3.00E-01
2.97E-04,3.00E-01
2.97E-04,2.20E-01
2.98E-04,2.20E-01
2.98E-04,2.60E-01
2.98E-04,2.60E-01
2.99E-04,2.60E-01
2.99E-04,2.60E-01
3.00E-04,2.60E-01
3.00E-04,2.60E-01
3.00E-04,2.60E-01
3.01E-04,2.60E-01
3.01E-04,2.60E-01
3.02E-04,2.60E-01
3.02E-04,2.20E-01
3.02E-04,2.20E-01
3.03E-04,2.20E-01
3.03E-04,2.20E-01
3.04E-04,2.20E-01
3.04E-04,2.20E-01
3.04E-04,1.80E-01
3.05E-04,1.80E-01
3.05E-04,1.80E-01
3.06E-04,1.80E-01
3.06E-04,1.80E-01
3.06E-04,1.80E-01
3.07E-04,1.40E-01
3.07E-04,1.40E-01
3.08E-04,1.40E-01
3.08E-04,1.40E-01
3.08E-04,1.40E-01
3.09E-04,1.40E-01
3.09E-04,1.40E-01
3.10E-04,1.40E-01
3.10E-04,1.80E-01
3.10E-04,1.80E-01
3.11E-04,1.40E-01
3.11E-04,1.40E-01
3.12E-04,1.80E-01
3.12E-04,1.80E-01
3.12E-04,1.40E-01
3.13E-04,1.40E-01
3.13E-04,1.00E-01
3.14E-04,1.00E-01
3.14E-04,1.40E-01
3.14E-04,1.40E-01
3.15E-04,1.40E-01
3.15E-04,1.40E-01
3.16E-04,6.00E-02
3.16E-04,6.00E-02
3.16E-04,1.00E-01
3.17E-04,1.00E-01
3.17E-04,1.00E-01
3.18E-04,1.00E-01
3.18E-04,1.00E-01
3.18E-04,1.00E-01
3.19E-04,1.00E-01
3.19E-04,1.00E-01
3.20E-04,1.00E-01
3.20E-04,1.00E-01
3.20E-04,1.00E-01
3.21E-04,1.00E-01
3.21E-04,1.40E-01
3.22E-04,1.40E-01
3.22E-04,1.00E-01
3.22E-04,1.00E-01
3.23E-04,1.00E-01
3.23E-04,1.00E-01
3.24E-04,6.00E-02
3.24E-04,6.00E-02
3.24E-04,1.00E-01
3.25E-04,1.00E-01
3.25E-04,1.00E-01
3.26E-04,1.00E-01
3.26E-04,6.00E-02
3.26E-04,6.00E-02
3.27E-04,6.00E-02
3.27E-04,6.00E-02
3.28E-04,2.00E-02
3.28E-04,2.00E-02
3.28E-04,2.00E-02
3.29E-04,2.00E-02
3.29E-04,2.00E-02
3.30E-04,2.00E-02
3.30E-04,2.00E-02
3.30E-04,2.00E-02
3.31E-04,2.00E-02
3.31E-04,2.00E-02
3.32E-04,-2.00E-02
3.32E-04,-2.00E-02
3.32E-04,-2.00E-02
3.33E-04,-2.00E-02
3.33E-04,-2.00E-02
3.34E-04,-2.00E-02
3.34E-04,2.00E-02
3.34E-04,2.00E-02
3.35E-04,-2.00E-02
3.35E-04,-2.00E-02
3.36E-04,-2.00E-02
3.36E-04,-2.00E-02
3.36E-04,-6.00E-02
3.37E-04,-6.00E-02
3.37E-04,-6.00E-02
3.38E-04,-6.00E-02
3.38E-04,-2.00E-02
3.38E-04,-2.00E-02
3.39E-04,-6.00E-02
3.39E-04,-6.00E-02
3.40E-04,-6.00E-02
3.40E-04,-6.00E-02
3.40E-04,-6.00E-02
3.41E-04,-6.00E-02
3.41E-04,-6.00E-02
3.42E-04,-6.00E-02
3.42E-04,-6.00E-02
3.42E-04,-6.00E-02
3.43E-04,-2.00E-02
3.43E-04,-2.00E-02
3.44E-04,-2.00E-02
3.44E-04,-2.00E-02
3.44E-04,-2.00E-02
3.45E-04,-2.00E-02
3.45E-04,-2.00E-02
3.46E-04,-2.00E-02
3.46E-04,-6.00E-02
3.46E-04,-6.00E-02
3.47E-04,-6.00E-02
3.47E-04,-6.00E-02
3.48E-04,-6.00E-02
3.48E-04,-6.00E-02
3.48E-04,-6.00E-02
3.49E-04,-6.00E-02
3.49E-04,-6.00E-02
3.50E-04,-6.00E-02
3.50E-04,-2.00E-02
3.50E-04,-2.00E-02
3.51E-04,-2.00E-02
3.51E-04,-2.00E-02
3.52E-04,-2.00E-02
3.52E-04,-2.00E-02
3.52E-04,-2.00E-02
3.53E-04,-2.00E-02
3.53E-04,2.00E-02
3.54E-04,2.00E-02
3.54E-04,2.00E-02
3.54E-04,2.00E-02
3.55E-04,2.00E-02
3.55E-04,2.00E-02
3.56E-04,-2.00E-02
3.56E-04,-2.00E-02
3.56E-04,2.00E-02
3.57E-04,2.00E-02
3.57E-04,2.00E-02
3.58E-04,2.00E-02
3.58E-04,2.00E-02
3.58E-04,2.00E-02
3.59E-04,2.00E-02
3.59E-04,2.00E-02
3.60E-04,2.00E-02
3.60E-04,2.00E-02
3.60E-04,2.00E-02
3.61E-04,2.00E-02
3.61E-04,-2.00E-02
3.62E-04,-2.00E-02
3.62E-04,-2.00E-02
3.62E-04,-2.00E-02
3.63E-04,-2.00E-02
3.63E-04,-2.00E-02
3.64E-04,-2.00E-02
3.64E-04,-2.00E-02
3.64E-04,-2.00E-02
3.65E-04,-2.00E-02
3.65E-04,2.00E-02
3.66E-04,2.00E-02
3.66E-04,2.00E-02
3.66E-04,2.00E-02
3.67E-04,-2.00E-02
3.67E-04,-2.00E-02
3.68E-04,-2.00E-02
3.68E-04,-2.00E-02
3.68E-04,-2.00E-02
3.69E-04,-2.00E-02
